Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Rheumatoid Arthritis,Bowel issues,Fear,Nausea,Increased mucus production,Frequent urination,Jaw pain,Fatigue,Vomiting,Itching,Diarrhea,Bloating,Swelling,Weakness,Body aches,Shortness of breath,Thickened skin,Double vision
Multiple Sclerosis,Inability to defecate,Nausea,Constipation,Frequent urination,Loss of automatic movements,Fullness,Withdrawal from work,Fatigue,Vomiting,Diarrhea,Bloating,Tenderness,Swelling,Body aches,Difficulty swallowing,Shortness of breath,Anemia
Celiac Disease,Severe headache,Redness,Inability to defecate,Staring spells,Nosebleeds,Frequent urination,Loss of smell,Vomiting,Chest discomfort,Diarrhea,Slight fever,Receding gums,Itching,Body aches,Tophi,Shortness of breath,Anemia
HIV/AIDS,Pneumonia,Rash,Nausea,Hard lumps,Increased mucus production,Tremor,Loss of smell,Increased thirst,Withdrawal from work,Itching,Slight fever,Diarrhea,Vomiting,Swelling,Mucus production,Tophi,Shortness of breath
Osteoporosis,Redness,Stooped posture,Pneumonia,Nausea,Hard lumps,Increased mucus production,Neck stiffness,Loss of smell,Constipation,Vomiting,Itching,Receding gums,Diarrhea,Difficulty thinking,Bloating,Shortness of breath,Sore that doesn’t heal
Alzheimer's Disease,Redness,Bowel issues,Blood in stool,Nausea,Misplacing things,Frequent infections,Withdrawal from work,Vomiting,Diarrhea,Difficulty performing familiar tasks,Difficulty thinking,Bone pain,Tender abdomen,Numbness,Tophi,Shortness of breath,Hunger
Pneumonia,Severe headache,Unexplained bleeding,Difficulty sleeping,Nausea,Nosebleeds,Increased mucus production,Misplacing things,Vomiting,Diarrhea,Difficulty thinking,Swelling,Bone fractures,Body aches,Blisters,Shortness of breath,Anemia,Gas
Cancer,Severe headache,Unexplained bleeding,Inability to defecate,Burning,Change in bowel habits,Hard lumps,Unexplained fevers,Withdrawal from work,Vomiting,Diarrhea,Difficulty performing familiar tasks,Bone pain,Swelling,Difficulty walking,Difficulty swallowing,Shortness of breath,Hunger
Hepatitis B,Redness,Swollen joints,Blood in stool,Difficulty sleeping,Nausea,Hard lumps,Constipation,Frequent urination,Itching,Slight fever,Change in existing mole,Diarrhea,Bloating,Swelling,Difficulty swallowing,Shortness of breath,Hunger
Hepatitis B,Soreness,Fear,Staring spells,Nausea,Loss of automatic movements,Frequent infections,Fatigue,Fullness,Vomiting,Slight fever,Congestion,Bloating,Swelling,Stiff joints,Weakness,Shortness of breath,Hunger
Diabetes,Redness,Unexplained bleeding,Blood in stool,Aura,Difficulty sleeping,Nausea,Unexplained fevers,Withdrawal from work,Change in existing mole,Vomiting,Receding gums,Tenderness,Irritability,Numbness,Blisters,Shortness of breath,Hunger
HIV/AIDS,Blood in stool,Pneumonia,Rash,Sneezing,Hunger,Change in bowel habits,Neck stiffness,Frequent urination,Nausea,Misplacing things,Coughing up blood,Itching,Change in existing mole,Diarrhea,Bloating,Anemia,Sore that doesn’t heal
COVID-19,Severe headache,Bowel issues,Redness,Swollen joints,Frequent urination,Withdrawal from work,Reduced appetite,Chest discomfort,Itching,Diarrhea,Problems with words,Vomiting,Mucus production,Tenderness,Blisters,Thickened skin,Hunger
Bronchitis,Bowel issues,Soreness,Throbbing pain,Nosebleeds,Increased mucus production,Frequent urination,Chest discomfort,Slight fever,Vomiting,Swelling,Mucus production,Bone pain,Blisters,Shortness of breath,Anemia,Sore that doesn’t heal,Gas
Gastritis,Swollen joints,Bleeding mole,Burning,Rash,Hard lumps,Increased mucus production,Itching,Diarrhea,Bloating,Difficulty thinking,Bone pain,Swelling,Difficulty swallowing,Blisters,Shortness of breath,Anemia,Hunger
Crohn's Disease,Redness,Inability to defecate,Difficulty sleeping,Nausea,Frequent infections,Mild fever,Reduced appetite,Itching,Chest discomfort,Diarrhea,Skin infections,Problems with words,Difficulty performing familiar tasks,Swelling,Bloating,Vomiting,Tophi
Irritable Bowel Syndrome,Bowel issues,Nausea,Tremor,Nosebleeds,Reduced appetite,Itching,Change in existing mole,Diarrhea,Bloating,Problems with words,Bone pain,Receding gums,Difficulty swallowing,Numbness,Shortness of breath,Anemia,Gas
Crohn's Disease,Sneezing,Hard lumps,Neck stiffness,Vomiting,Chest discomfort,Diarrhea,Skin infections,Problems with words,Mucus production,Bloating,Bone fractures,Body aches,Loss of height,Difficulty swallowing,Swelling,Tenderness,Anemia
Influenza,Severe headache,Redness,Hard lumps,Frequent urination,Unconsciousness,Mild fever,Fatigue,Itching,Change in existing mole,Diarrhea,Difficulty performing familiar tasks,Bone pain,Mucus production,Vomiting,Numbness,Tophi,Shortness of breath
Melanoma,Redness,Unexplained bleeding,Fear,Hard lumps,Increased mucus production,Neck stiffness,Loss of smell,Change in existing mole,Itching,Diarrhea,Bloating,Swelling,Tenderness,Vomiting,Shortness of breath,Anemia,Sore that doesn’t heal
Cancer,Redness,Unexplained bleeding,Swollen joints,Hunger,Nosebleeds,Unexplained fevers,Itching,Vomiting,Tender abdomen,Morning stiffness,Swelling,Bone pain,Bloating,Difficulty swallowing,Shortness of breath,Anemia,Sore that doesn’t heal
Multiple Sclerosis,Bowel issues,Difficulty sleeping,Nausea,Constipation,Loss of smell,Pain during urination,Fatigue,Chest discomfort,Vomiting,Slight fever,Bloating,Diarrhea,Swelling,Anxiety,Body aches,Numbness,Shortness of breath
Pneumonia,Redness,Bowel issues,Fear,Sneezing,Nausea,Reduced appetite,Fatigue,Vomiting,Easy bruising,Diarrhea,Skin infections,Tender abdomen,Receding gums,Irregular heartbeat,Shortness of breath,Thickened skin,Hunger
Epilepsy,Severe headache,Bowel issues,Inability to defecate,Blood in stool,Bleeding mole,Sneezing,Nausea,Loss of smell,Chest discomfort,Loss of height,Diarrhea,Itching,Difficulty thinking,Swelling,Difficulty walking,Thickened skin,Gas
Chronic Obstructive Pulmonary Disease,Redness,Blood in stool,Stooped posture,Nausea,Nosebleeds,Vomiting,Loss of height,Diarrhea,Itching,Swelling,Morning stiffness,Bone pain,Change in existing mole,Difficulty swallowing,Blisters,Shortness of breath,Thickened skin
Gout,Swollen joints,Fear,Aura,Staring spells,Difficulty sleeping,Hard lumps,Nausea,Frequent infections,Pain during urination,Itching,Slight fever,Diarrhea,Receding gums,Morning stiffness,Tophi,Shortness of breath,Gas
Melanoma,Redness,Bowel issues,Inability to defecate,Difficulty sleeping,Unexplained fevers,Change in existing mole,Itching,Chest discomfort,Tender abdomen,Tenderness,Diarrhea,Vomiting,Irritability,Shortness of breath,Thickened skin,Anemia,Sore that doesn’t heal
Gout,Redness,Swollen joints,Fear,Sneezing,Nosebleeds,Loss of smell,Vomiting,Diarrhea,Bloating,Morning stiffness,Tenderness,Difficulty swallowing,Irritability,Tophi,Shortness of breath,Thickened skin,Anemia
Anemia,Stooped posture,Burning,Change in bowel habits,Hard lumps,Loss of smell,Fatigue,Shortness of breath,Problems with words,Difficulty performing familiar tasks,Bone pain,Bone fractures,Bloating,Diarrhea,Body aches,Mouth sores,Weakness,Loss of taste
Diabetes,Unexplained bleeding,Soreness,Throbbing pain,Anemia,Nosebleeds,Increased thirst,Vomiting,Irritability,Diarrhea,Skin infections,Swelling,Bloating,Body aches,Numbness,Shortness of breath,Hunger,Gas
HIV/AIDS,Swollen joints,Soreness,Bleeding mole,Pneumonia,Rash,Difficulty sleeping,Anemia,Vomiting,Diarrhea,Tender abdomen,Bone pain,Receding gums,Swelling,Irritability,Tophi,Shortness of breath,Hunger
COVID-19,Unexplained bleeding,Body aches,Staring spells,Frequent urination,Vomiting,Chest discomfort,Diarrhea,Bloating,Morning stiffness,Swelling,Numbness,Irritability,Difficulty swallowing,Blisters,Loss of taste,Thickened skin,Anemia
Peptic Ulcer,Fear,Staring spells,Difficulty sleeping,Nosebleeds,Increased mucus production,Hard lumps,Vomiting,Chest discomfort,Itching,Bloating,Tender abdomen,Swelling,Tenderness,Diarrhea,Body aches,Tophi,Hunger
COVID-19,Redness,Bleeding mole,Throbbing pain,Aura,Difficulty sleeping,Loss of smell,Vomiting,Shortness of breath,Diarrhea,Receding gums,Swelling,Bloating,Numbness,Tophi,Loss of taste,Hunger,Sore that doesn’t heal
Ulcerative Colitis,Aura,Staring spells,Nausea,Increased thirst,Belching,Loss of automatic movements,Unexplained fevers,Vomiting,Itching,Diarrhea,Difficulty performing familiar tasks,Swelling,Tender abdomen,Numbness,Shortness of breath,Thickened skin,Anemia
Kidney Stones,Unexplained bleeding,Stooped posture,Sneezing,Rash,Nosebleeds,Nausea,Frequent urination,Belching,Vomiting,Slight fever,Itching,Diarrhea,Swelling,Tenderness,Shortness of breath,Hunger,Gas
Psoriasis,Swollen joints,Soreness,Burning,Staring spells,Sneezing,Difficulty sleeping,Nausea,Itching,Chest discomfort,Vomiting,Diarrhea,Bone pain,Mucus production,Swelling,Shortness of breath,Hunger,Sore that doesn’t heal
Migraine,Severe headache,Aura,Nausea,Nosebleeds,Coughing up blood,Loss of automatic movements,Unexplained fevers,Change in existing mole,Vomiting,Problems with words,Skin infections,Receding gums,Mucus production,Diarrhea,Swelling,Anemia,Gas
COVID-19,Fear,Staring spells,Nosebleeds,Neck stiffness,Loss of smell,Frequent urination,Withdrawal from work,Vomiting,Itching,Problems with words,Difficulty performing familiar tasks,Morning stiffness,Bone pain,Diarrhea,Shortness of breath,Tophi,Loss of taste
Eczema,Blood in stool,Rash,Nausea,Hard lumps,Nosebleeds,Withdrawal from work,Vomiting,Itching,Difficulty performing familiar tasks,Swelling,Mucus production,Difficulty thinking,Bloating,Tenderness,Numbness,Shortness of breath,Thickened skin
HIV/AIDS,Redness,Soreness,Fear,Pneumonia,Rash,Nausea,Belching,Depression,Fatigue,Chest discomfort,Irregular heartbeat,Diarrhea,Mouth sores,Stiff joints,Weakness,Difficulty swallowing,Double vision
Chronic Obstructive Pulmonary Disease,Severe headache,Swollen joints,Inability to defecate,Aura,Nosebleeds,Increased mucus production,Loss of taste,Loss of smell,Reduced appetite,Chest discomfort,Itching,Diarrhea,Problems with words,Swelling,Bloating,Difficulty walking,Shortness of breath
COVID-19,Severe headache,Swollen joints,Body aches,Rash,Increased mucus production,Neck stiffness,Loss of smell,Unexplained fevers,Chest discomfort,Slight fever,Diarrhea,Difficulty performing familiar tasks,Bloating,Mucus production,Receding gums,Itching,Irritability
Gastritis,Severe headache,Swollen joints,Burning,Nausea,Neck stiffness,Belching,Loss of automatic movements,Withdrawal from work,Fatigue,Vomiting,Loss of height,Diarrhea,Stiff joints,Swelling,Weakness,Tophi,Hunger
Diabetes,Blood in stool,Throbbing pain,Nausea,Anemia,Increased mucus production,Increased thirst,Depression,Loss of automatic movements,Fatigue,Itching,Chest discomfort,Difficulty performing familiar tasks,Swelling,Bone pain,Irritability,Hunger,Gas
Rheumatoid Arthritis,Swollen joints,Sneezing,Nausea,Increased mucus production,Frequent urination,Chest discomfort,Slight fever,Vomiting,Bloating,Morning stiffness,Swelling,Tenderness,Diarrhea,Difficulty swallowing,Shortness of breath,Hunger,Sore that doesn’t heal
Peptic Ulcer,Bowel issues,Rash,Hard lumps,Frequent urination,Reduced appetite,Vomiting,Slight fever,Diarrhea,Bloating,Difficulty performing familiar tasks,Mucus production,Problems with words,Morning stiffness,Bone pain,Itching,Blisters,Shortness of breath
Gout,Redness,Bowel issues,Severe headache,Fear,Hard lumps,Nosebleeds,Neck stiffness,Withdrawal from work,Vomiting,Itching,Change in existing mole,Skin infections,Swelling,Tender abdomen,Bone fractures,Tophi,Shortness of breath
Gastritis,Blood in stool,Swollen joints,Burning,Nausea,Coughing up blood,Neck stiffness,Belching,Constipation,Reduced appetite,Itching,Vomiting,Diarrhea,Bloating,Tender abdomen,Blisters,Shortness of breath,Anemia
HIV/AIDS,Unexplained bleeding,Bowel issues,Rash,Loss of smell,Unexplained fevers,Vomiting,Itching,Diarrhea,Difficulty performing familiar tasks,Morning stiffness,Tenderness,Swelling,Body aches,Tophi,Blisters,Shortness of breath,Anemia
Pancreatitis,Redness,Pneumonia,Body aches,Nausea,Rapid pulse,Nosebleeds,Increased mucus production,Neck stiffness,Coughing up blood,Belching,Jaw pain,Mild fever,Vomiting,Loss of height,Receding gums,Irritability,Shortness of breath
Common Cold,Unexplained bleeding,Soreness,Body aches,Sneezing,Nosebleeds,Loss of smell,Reduced appetite,Itching,Diarrhea,Tender abdomen,Bone pain,Bloating,Swelling,Irritability,Numbness,Thickened skin,Anemia
Appendicitis,Redness,Bowel issues,Throbbing pain,Hard lumps,Nosebleeds,Frequent urination,Loss of smell,Reduced appetite,Vomiting,Loss of height,Diarrhea,Difficulty performing familiar tasks,Swelling,Problems with words,Bone fractures,Irritability,Shortness of breath
Alzheimer's Disease,Bowel issues,Increased mucus production,Loss of taste,Unexplained fevers,Withdrawal from work,Itching,Slight fever,Problems with words,Difficulty performing familiar tasks,Difficulty thinking,Diarrhea,Bone fractures,Loss of height,Change in existing mole,Swelling,Difficulty swallowing,Shortness of breath
Crohn's Disease,Redness,Bowel issues,Nausea,Nosebleeds,Coughing up blood,Constipation,Butterfly-shaped rash,Reduced appetite,Fatigue,Vomiting,Itching,Diarrhea,Difficulty performing familiar tasks,Difficulty thinking,Bloating,Blisters,Shortness of breath
Irritable Bowel Syndrome,Unexplained bleeding,Nausea,Change in bowel habits,Constipation,Unconsciousness,Vomiting,Chest discomfort,Diarrhea,Bloating,Bone pain,Tender abdomen,Swelling,Itching,Numbness,Shortness of breath,Anemia,Gas
Gastritis,Chest pain,Throbbing pain,Rash,Nausea,Persistent pain,Swelling in ankles,Belching,Loss of smell,Reduced appetite,Fatigue,Vomiting,Diarrhea,Bloating,Difficulty swallowing,Numbness,Sensitivity to light,Shortness of breath
Hypertension,Swollen joints,Pneumonia,Nosebleeds,Unexplained fevers,Withdrawal from work,Reduced appetite,Vomiting,Slight fever,Diarrhea,Problems with words,Tender abdomen,Mucus production,Itching,Swelling,Numbness,Shortness of breath,Thickened skin
Migraine,Blood in stool,Stooped posture,Bleeding mole,Aura,Nausea,Nosebleeds,Coughing up blood,Frequent urination,Constipation,Belching,Diarrhea,Bloating,Swelling,Mucus production,Numbness,Shortness of breath,Anemia
Leukemia,Unexplained bleeding,Bowel issues,Hunger,Increased mucus production,Nosebleeds,Frequent urination,Vomiting,Diarrhea,Bloating,Bone pain,Mucus production,Swelling,Difficulty walking,Numbness,Shortness of breath,Anemia,Sore that doesn’t heal
Psoriasis,Bowel issues,Bleeding mole,Misplacing things,Constipation,Unconsciousness,Fullness,Fatigue,Vomiting,Double vision,Tender abdomen,Swelling,Mucus production,Tenderness,Bloating,Bladder issues,Anemia,Swollen lymph nodes
Lymphoma,Blood in stool,Unexplained bleeding,Bowel issues,Throbbing pain,Aura,Increased mucus production,Itching,Vomiting,Diarrhea,Problems with words,Difficulty thinking,Swelling,Receding gums,Tenderness,Bloating,Shortness of breath,Anemia
Bronchitis,Stooped posture,Fear,Difficulty walking,Staring spells,Frequent urination,Chest discomfort,Slight fever,Itching,Vomiting,Loss of height,Mucus production,Receding gums,Swelling,Diarrhea,Bloating,Blisters,Shortness of breath
Lupus,Soreness,Pneumonia,Throbbing pain,Sneezing,Nausea,Nosebleeds,Burning,Frequent urination,Vomiting,Diarrhea,Tender abdomen,Difficulty thinking,Bloating,Body aches,Difficulty swallowing,Blisters,Shortness of breath
Celiac Disease,Blood in stool,Stooped posture,Nausea,Tremor,Nosebleeds,Blisters,Vomiting,Chest discomfort,Diarrhea,Skin infections,Difficulty thinking,Mucus production,Difficulty performing familiar tasks,Itching,Numbness,Tophi,Anemia
Heart Disease,Bowel issues,Stooped posture,Aura,Sneezing,Nausea,Hard lumps,Neck stiffness,Vomiting,Diarrhea,Tender abdomen,Swelling,Mucus production,Body aches,Numbness,Shortness of breath,Anemia,Gas
Lupus,Nausea,Nosebleeds,Coughing up blood,Loss of automatic movements,Butterfly-shaped rash,Fatigue,Itching,Chest discomfort,Diarrhea,Tender abdomen,Difficulty thinking,Mucus production,Bloating,Irregular heartbeat,Writing changes,Difficulty swallowing,Shortness of breath
Hypertension,Redness,Stooped posture,Pneumonia,Throbbing pain,Change in bowel habits,Nosebleeds,Itching,Chest discomfort,Diarrhea,Bloating,Swelling,Irritability,Numbness,Blisters,Shortness of breath,Hunger,Sore that doesn’t heal
Rheumatoid Arthritis,Redness,Inability to defecate,Body aches,Nausea,Constipation,Unexplained fevers,Fullness,Vomiting,Receding gums,Tender abdomen,Morning stiffness,Swelling,Bloating,Diarrhea,Irritability,Shortness of breath,Sore that doesn’t heal
Influenza,Pneumonia,Aura,Difficulty sleeping,Nausea,Nosebleeds,Rapid pulse,Loss of smell,Loss of automatic movements,Reduced appetite,Fatigue,Chest discomfort,Vomiting,Diarrhea,Bloating,Swelling,Stiff joints,Hunger
Migraine,Throbbing pain,Aura,Nausea,Constipation,Neck stiffness,Frequent urination,Depression,Mild fever,Fatigue,Itching,Vomiting,Receding gums,Skin infections,Congestion,Numbness,Blisters,Sore that doesn’t heal
Pancreatitis,Blood in stool,Unexplained bleeding,Soreness,Pneumonia,Burning,Nausea,Mild fever,Itching,Vomiting,Diarrhea,Bloating,Tender abdomen,Difficulty thinking,Swelling,Numbness,Shortness of breath,Thickened skin
Osteoporosis,Stooped posture,Aura,Difficulty sleeping,Rapid pulse,Nausea,Unconsciousness,Jaw pain,Unexplained fevers,Reduced appetite,Fatigue,Itching,Irregular heartbeat,Bloating,Bone fractures,Mucus production,Swelling,Gas
Bronchitis,Pneumonia,Nosebleeds,Hard lumps,Increased mucus production,Increased thirst,Belching,Chest discomfort,Vomiting,Diarrhea,Bloating,Bone fractures,Swelling,Tenderness,Irritability,Numbness,Shortness of breath,Sore that doesn’t heal
Alzheimer's Disease,Bowel issues,Swollen joints,Rash,Nausea,Nosebleeds,Misplacing things,Neck stiffness,Withdrawal from work,Vomiting,Diarrhea,Bloating,Bone pain,Tenderness,Irritability,Shortness of breath,Sore that doesn’t heal,Gas
Lupus,Soreness,Pneumonia,Aura,Staring spells,Nausea,Hard lumps,Change in bowel habits,Reduced appetite,Chest discomfort,Diarrhea,Bloating,Swelling,Difficulty swallowing,Tophi,Shortness of breath,Thickened skin,Anemia
Peptic Ulcer,Swollen joints,Bleeding mole,Anemia,Loss of taste,Frequent urination,Itching,Vomiting,Diarrhea,Bloating,Difficulty performing familiar tasks,Mucus production,Difficulty swallowing,Irritability,Numbness,Shortness of breath,Thickened skin,Hunger
Melanoma,Redness,Severe headache,Soreness,Blood in stool,Burning,Staring spells,Nausea,Increased mucus production,Change in existing mole,Chest discomfort,Diarrhea,Difficulty performing familiar tasks,Bloating,Mucus production,Vomiting,Shortness of breath,Sore that doesn’t heal
Stroke,Severe headache,Redness,Inability to defecate,Fear,Nausea,Rapid pulse,Hard lumps,Increased mucus production,Misplacing things,Unconsciousness,Jaw pain,Vomiting,Loss of height,Diarrhea,Difficulty swallowing,Shortness of breath,Anemia
Celiac Disease,Swollen joints,Stooped posture,Throbbing pain,Nausea,Rapid pulse,Frequent urination,Fatigue,Itching,Vomiting,Receding gums,Bloating,Diarrhea,Mucus production,Swelling,Difficulty swallowing,Blisters,Shortness of breath
Diabetes,Redness,Unexplained bleeding,Throbbing pain,Anemia,Frequent urination,Vomiting,Problems with words,Skin infections,Difficulty thinking,Swelling,Diarrhea,Bloating,Irritability,Blisters,Shortness of breath,Thickened skin,Hunger
Diabetes,Soreness,Sneezing,Nosebleeds,Loss of smell,Reduced appetite,Chest discomfort,Slight fever,Loss of height,Skin infections,Swelling,Bloating,Diarrhea,Vomiting,Difficulty swallowing,Shortness of breath,Hunger,Gas
Kidney Stones,Severe headache,Redness,Bleeding mole,Throbbing pain,Nausea,Rapid pulse,Nosebleeds,Frequent urination,Itching,Slight fever,Receding gums,Swelling,Mucus production,Shortness of breath,Thickened skin,Anemia,Sore that doesn’t heal
Peptic Ulcer,Blood in stool,Unexplained bleeding,Stooped posture,Difficulty sleeping,Nausea,Tremor,Loss of smell,Fullness,Itching,Slight fever,Problems with words,Bloating,Swelling,Body aches,Blisters,Shortness of breath,Hunger
Leukemia,Severe headache,Redness,Rash,Nausea,Nosebleeds,Constipation,Loss of smell,Frequent infections,Withdrawal from work,Fatigue,Vomiting,Easy bruising,Diarrhea,Bloating,Bone pain,Swelling,Hunger
Ulcerative Colitis,Redness,Blood in stool,Burning,Rash,Nausea,Increased mucus production,Frequent urination,Unexplained fevers,Vomiting,Loss of height,Diarrhea,Skin infections,Difficulty performing familiar tasks,Bloating,Swelling,Shortness of breath,Hunger
Alzheimer's Disease,Burning,Staring spells,Increased mucus production,Misplacing things,Mild fever,Withdrawal from work,Fatigue,Chest discomfort,Loss of height,Problems with words,Receding gums,Swelling,Bloating,Difficulty swallowing,Numbness,Tophi,Anemia
Celiac Disease,Unexplained bleeding,Soreness,Sneezing,Difficulty sleeping,Increased mucus production,Staring spells,Nosebleeds,Vomiting,Itching,Diarrhea,Receding gums,Bone fractures,Mucus production,Swelling,Change in existing mole,Bloating,Anemia
Epilepsy,Inability to defecate,Fear,Staring spells,Sneezing,Nosebleeds,Increased mucus production,Neck stiffness,Reduced appetite,Vomiting,Itching,Diarrhea,Problems with words,Bone pain,Bone fractures,Change in existing mole,Bloating,Shortness of breath
Lupus,Bleeding mole,Change in bowel habits,Nausea,Misplacing things,Coughing up blood,Neck stiffness,Frequent urination,Belching,Reduced appetite,Change in existing mole,Vomiting,Receding gums,Diarrhea,Bone pain,Swelling,Bloating,Shortness of breath
Common Cold,Severe headache,Swollen joints,Bleeding mole,Fear,Body aches,Rash,Aura,Nausea,Coughing up blood,Unexplained fevers,Change in existing mole,Loss of height,Bloating,Irritability,Numbness,Shortness of breath,Hunger
Appendicitis,Unexplained bleeding,Throbbing pain,Difficulty sleeping,Nausea,Increased mucus production,Constipation,Loss of smell,Fullness,Vomiting,Chest discomfort,Diarrhea,Change in existing mole,Swelling,Difficulty swallowing,Shortness of breath,Thickened skin,Anemia
Psoriasis,Nausea,Nosebleeds,Constipation,Frequent urination,Fullness,Reduced appetite,Fatigue,Itching,Chest discomfort,Problems with words,Receding gums,Loss of height,Diarrhea,Vomiting,Shortness of breath,Hunger,Gas
Eczema,Redness,Body aches,Nausea,Tremor,Nosebleeds,Misplacing things,Constipation,Fullness,Fatigue,Itching,Mouth sores,Bloating,Numbness,Irritability,Difficulty swallowing,Shortness of breath,Gas
Asthma,Inability to defecate,Stooped posture,Nausea,Nosebleeds,Hard lumps,Frequent urination,Increased mucus production,Withdrawal from work,Chest discomfort,Vomiting,Diarrhea,Morning stiffness,Swelling,Bone pain,Shortness of breath,Thickened skin,Hunger
